radius,transport_cost,discount_rate,yield,breakeven_price
Farmgate,0,0.05,2.0,183.49589838019375
Farmgate,0,0.05,2.135593220338983,171.8453651497053
Farmgate,0,0.05,2.2711864406779663,161.58594036464822
Farmgate,0,0.05,2.406779661016949,152.48250710466806
Farmgate,0,0.05,2.542372881355932,144.35010672575245
Farmgate,0,0.05,2.6779661016949152,137.04124056242318
Farmgate,0,0.05,2.8135593220338984,130.43684342688474
Farmgate,0,0.05,2.9491525423728815,124.43974717737278
Farmgate,0,0.05,3.084745762711864,118.9698681805652
Farmgate,0,0.05,3.2203389830508478,113.96061057296244
Farmgate,0,0.05,3.3559322033898304,109.35614145890337
Farmgate,0,0.05,3.4915254237288136,105.10930101389741
Farmgate,0,0.05,3.6271186440677967,101.17998134982649
Farmgate,0,0.05,3.7627118644067794,97.53385589577869
Farmgate,0,0.05,3.898305084745763,94.14137395157766
Farmgate,0,0.05,4.033898305084746,90.9769580204322
Farmgate,0,0.05,4.169491525423728,88.01835775960514
Farmgate,0,0.05,4.305084745762712,85.24612601914514
Farmgate,0,0.05,4.4406779661016955,82.64319087352237
Farmgate,0,0.05,4.576271186440678,80.19450373652914
Farmgate,0,0.05,4.711864406779661,77.88674823331965
Farmgate,0,0.05,4.847457627118644,75.70809793308693
Farmgate,0,0.05,4.983050847457627,73.64801363558799
Farmgate,0,0.05,5.118644067796611,71.69707287702934
Farmgate,0,0.05,5.254237288135593,69.8468258350415
Farmgate,0,0.05,5.389830508474576,68.08967298384549
Farmgate,0,0.05,5.525423728813559,66.41876076338303
Farmgate,0,0.05,5.661016949152542,64.82789224210438
Farmgate,0,0.05,5.796610169491526,63.31145031831246
Farmgate,0,0.05,5.932203389830509,61.86433145389391
Farmgate,0,0.05,6.067796610169491,60.481888292913034
Farmgate,0,0.05,6.203389830508475,59.159879805636244
Farmgate,0,0.05,6.338983050847458,57.89442783118413
Farmgate,0,0.05,6.47457627118644,56.68197908079284
Farmgate,0,0.05,6.610169491525424,55.519271817597094
Farmgate,0,0.05,6.745762711864407,54.40330655493183
Farmgate,0,0.05,6.88135593220339,53.331320218874055
Farmgate,0,0.05,7.016949152542373,52.30076330643204
Farmgate,0,0.05,7.1525423728813555,51.30927964185513
Farmgate,0,0.05,7.288135593220339,50.35468839270433
Farmgate,0,0.05,7.423728813559322,49.43496805676453
Farmgate,0,0.05,7.559322033898305,48.54824217233826
Farmgate,0,0.05,7.694915254237288,47.69276653934552
