radius,transport_cost,discount_rate,yield,breakeven_price
farmgate,0,0.05,1.0,280.0
farmgate,0,0.05,1.152542372881356,242.94117647058823
farmgate,0,0.05,1.305084745762712,214.54545454545453
farmgate,0,0.05,1.457627118644068,192.09302325581396
farmgate,0,0.05,1.6101694915254239,173.89473684210523
farmgate,0,0.05,1.7627118644067798,158.8461538461538
farmgate,0,0.05,1.9152542372881356,146.1946902654867
farmgate,0,0.05,2.0677966101694913,135.40983606557378
farmgate,0,0.05,2.2203389830508478,126.1068702290076
farmgate,0,0.05,2.3728813559322033,118.0
farmgate,0,0.05,2.5254237288135597,110.8724832214765
farmgate,0,0.05,2.6779661016949152,104.55696202531645
farmgate,0,0.05,2.830508474576271,98.92215568862275
farmgate,0,0.05,2.983050847457627,93.86363636363636
farmgate,0,0.05,3.135593220338983,89.29729729729728
farmgate,0,0.05,3.288135593220339,85.15463917525771
farmgate,0,0.05,3.440677966101695,81.37931034482757
farmgate,0,0.05,3.593220338983051,77.92452830188678
farmgate,0,0.05,3.745762711864407,74.75113122171945
farmgate,0,0.05,3.898305084745763,71.82608695652173
farmgate,0,0.05,4.050847457627119,69.12133891213388
farmgate,0,0.05,4.203389830508475,66.61290322580645
farmgate,0,0.05,4.3559322033898304,64.28015564202335
farmgate,0,0.05,4.508474576271187,62.10526315789473
farmgate,0,0.05,4.661016949152542,60.07272727272726
farmgate,0,0.05,4.813559322033898,58.16901408450704
farmgate,0,0.05,4.966101694915254,56.382252559726965
farmgate,0,0.05,5.118644067796611,54.701986754966875
farmgate,0,0.05,5.271186440677966,53.11897106109325
farmgate,0,0.05,5.423728813559323,51.625
farmgate,0,0.05,5.576271186440678,50.2127659574468
farmgate,0,0.05,5.728813559322035,48.875739644970416
farmgate,0,0.05,5.88135593220339,47.608069164265125
farmgate,0,0.05,6.033898305084746,46.40449438202248
farmgate,0,0.05,6.186440677966102,45.26027397260274
farmgate,0,0.05,6.338983050847458,44.17112299465241
farmgate,0,0.05,6.491525423728814,43.1331592689295
farmgate,0,0.05,6.6440677966101696,42.142857142857146
farmgate,0,0.05,6.796610169491526,41.197007481296765
farmgate,0,0.05,6.9491525423728815,40.29268292682927
farmgate,0,0.05,7.101694915254238,39.4272076372315
farmgate,0,0.05,7.254237288135593,38.598130841121495
farmgate,0,0.05,7.40677966101695,37.803203661327224
farmgate,0,0.05,7.559322033898305,37.040358744394624
farmgate,0,0.05,7.711864406779662,36.30769230769231
farmgate,0,0.05,7.864406779661017,35.60344827586207
farmgate,0,0.05,8.016949152542374,34.92600422832981
farmgate,0,0.05,8.16949152542373,34.273858921161825
farmgate,0,0.05,8.322033898305085,33.645621181262726
farmgate,0,0.05,8.474576271186441,33.04
farmgate,0,0.05,8.627118644067796,32.455795677799614
farmgate,0,0.05,8.779661016949152,31.891891891891895
farmgate,0,0.05,8.932203389830509,31.3472485768501
farmgate,0,0.05,9.084745762711865,30.82089552238806
farmgate,0,0.05,9.237288135593221,30.31192660550458
farmgate,0,0.05,9.389830508474576,29.819494584837543
farmgate,0,0.05,9.542372881355933,29.34280639431616
farmgate,0,0.05,9.694915254237289,28.881118881118883
farmgate,0,0.05,9.847457627118645,28.43373493975903
farmgate,0,0.05,10.0,28.0
farmgate,0,0.06,1.0,280.0
farmgate,0,0.06,1.152542372881356,242.9411764705883
farmgate,0,0.06,1.305084745762712,214.54545454545456
farmgate,0,0.06,1.457627118644068,192.09302325581396
farmgate,0,0.06,1.6101694915254239,173.89473684210526
farmgate,0,0.06,1.7627118644067798,158.84615384615387
farmgate,0,0.06,1.9152542372881356,146.19469026548674
farmgate,0,0.06,2.0677966101694913,135.40983606557378
farmgate,0,0.06,2.2203389830508478,126.10687022900764
farmgate,0,0.06,2.3728813559322033,118.00000000000003
farmgate,0,0.06,2.5254237288135597,110.8724832214765
farmgate,0,0.06,2.6779661016949152,104.55696202531647
farmgate,0,0.06,2.830508474576271,98.92215568862277
farmgate,0,0.06,2.983050847457627,93.86363636363639
farmgate,0,0.06,3.135593220338983,89.29729729729732
farmgate,0,0.06,3.288135593220339,85.15463917525771
farmgate,0,0.06,3.440677966101695,81.37931034482759
