ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
5137,1,1,F070802060502_386 - Go To Location 1,2,1,5137,,,,,,,,,14.03166887,,18.7278269,,0.18818917
5138,1,1,F070802060502_389 - Go To Location 1,1,1,5138,,,,,,,,,15.17471495,,19.71776385,,0.203689868
5139,1,1,F070802060502_390 - Go To Location 1,1,1,5139,,,,,,,,,15.55971014,,20.02753049,,0.207409685
5140,1,1,F070802060502_392 - Go To Location 1,1,1,5140,,,,,,,,,19.75856962,,21.06265549,,0.215220804
5141,1,1,F070802060502_393 - Go To Location 1,2,1,5141,,,,,,,,,16.64496208,,21.35089091,,0.218455845
5142,1,1,F070802060502_394 - Go To Location 1,2,1,5142,,,,,,,,,16.59518498,,21.30088229,,0.217855501
5143,1,1,F070802060502_395 - Go To Location 1,1,1,5143,,,,,,,,,12.17721357,,15.51159139,,0.161222087
5144,1,1,F070802060502_396 - Go To Location 1,2,1,5144,,,,,,,,,16.68382398,,21.42411657,,0.217234744
5145,1,1,F070802060502_403 - Go To Location 1,2,1,5145,,,,,,,,,10.11629015,,14.71994268,,0.148509244
5146,1,1,F070802060502_404 - Go To Location 1,2,1,5146,,,,,,,,,13.560952,,16.2920479,,0.166161154
5147,1,1,F070802060502_406 - Go To Location 1,1,1,5147,,,,,,,,,11.30478585,,14.93588615,,0.153949564
5148,1,1,F070802060502_410 - Go To Location 1,2,1,5148,,,,,,,,,15.82145572,,21.54204035,,0.218163685
5149,1,1,F070802060502_411 - Go To Location 1,1,1,5149,,,,,,,,,9.219406862,,14.56664931,,0.154240153
5150,1,1,F070802060502_414 - Go To Location 1,2,1,5150,,,,,,,,,15.47687012,,21.14248349,,0.215765908
5151,1,1,F070802060502_416 - Go To Location 1,1,1,5151,,,,,,,,,10.10062848,,16.22119281,,0.174094794
5152,1,1,F070802060502_417 - Go To Location 1,2,1,5152,,,,,,,,,22.32390512,,27.36047315,,0.284770511
5153,1,1,F070802060502_418 - Go To Location 1,2,1,5153,,,,,,,,,15.92736404,,21.6564652,,0.221932988
5154,1,1,F070802060502_420 - Go To Location 1,2,1,5154,,,,,,,,,16.20306858,,21.97109421,,0.22570822
5155,1,1,F070802060502_421 - Go To Location 1,2,1,5155,,,,,,,,,11.50569973,,16.02816039,,0.167046281
5156,1,1,F070802060502_422 - Go To Location 1,1,1,5156,,,,,,,,,10.09343387,,14.41696977,,0.147714435
5157,1,1,F070802060502_423 - Go To Location 1,1,1,5157,,,,,,,,,10.43905097,,14.81128242,,0.152445572
5158,1,1,F070802060502_424 - Go To Location 1,1,1,5158,,,,,,,,,14.12243638,,19.60233455,,0.200700639
5159,1,1,F070802060502_427 - Go To Location 1,2,1,5159,,,,,,,,,11.77040744,,16.35673385,,0.167385666
5160,1,1,F070802060502_428 - Go To Location 1,1,1,5160,,,,,,,,,9.428788474,,13.74752231,,0.139682287
5161,1,1,F070802060502_430 - Go To Location 1,2,1,5161,,,,,,,,,12.15013406,,16.75953554,,0.172218287
5162,1,1,F070802060502_431 - Go To Location 1,1,1,5162,,,,,,,,,12.52733119,,17.88659178,,0.183487174
5163,1,1,F070802060502_433 - Go To Location 1,1,1,5163,,,,,,,,,12.05236673,,16.65582712,,0.170974042
5164,1,1,F070802060502_434 - Go To Location 1,1,1,5164,,,,,,,,,12.84080089,,18.34649423,,0.188942244
5165,1,1,F070802060502_440 - Go To Location 1,1,1,5165,,,,,,,,,15.31410163,,20.03627211,,0.206941622
5166,1,1,F070802060502_446 - Go To Location 1,2,1,5166,,,,,,,,,9.246764257,,13.2408598,,0.135609488
5167,1,1,F070802060502_447 - Go To Location 1,2,1,5167,,,,,,,,,8.710524453,,12.79934006,,0.130311191
5168,1,1,F070802060502_448 - Go To Location 1,1,1,5168,,,,,,,,,8.959862674,,13.07888736,,0.133666507
5169,1,1,F070802060502_454 - Go To Location 1,1,1,5169,,,,,,,,,12.14618578,,17.19636083,,0.171940715
5170,1,1,F070802060502_459 - Go To Location 1,1,1,5170,,,,,,,,,9.982242956,,14.82375725,,0.148155029
5171,1,1,F070802060502_460 - Go To Location 1,1,1,5171,,,,,,,,,10.09269992,,14.69949758,,0.148263797
5172,1,1,F070802060502_461 - Go To Location 1,1,1,5172,,,,,,,,,8.983243953,,13.35001082,,0.134885893
5173,1,1,F070802060502_463 - Go To Location 1,1,1,5173,,,,,,,,,10.68300626,,14.71425198,,0.152063374
5174,1,1,F070802060502_465 - Go To Location 1,1,1,5174,,,,,,,,,10.44444538,,14.95019627,,0.150510792
5175,1,1,F070802060502_466 - Go To Location 1,2,1,5175,,,,,,,,,10.45504965,,14.96144494,,0.150645748
5176,1,1,F070802060502_468 - Go To Location 1,1,1,5176,,,,,,,,,7.084031632,,10.55770941,,0.106157579
5177,1,1,F070802060502_469 - Go To Location 1,1,1,5177,,,,,,,,,7.512764119,,11.36262049,,0.115808308
5178,1,1,F070802060502_470 - Go To Location 1,2,1,5178,,,,,,,,,9.154376886,,12.74719931,,0.130601824
5179,1,1,F070802060502_471 - Go To Location 1,1,1,5179,,,,,,,,,9.100688268,,13.08790229,,0.13377349
5180,1,1,F070802060502_473 - Go To Location 1,2,1,5180,,,,,,,,,8.108670345,,12.12856356,,0.123888775
5181,1,1,F070802060502_474 - Go To Location 1,2,1,5181,,,,,,,,,11.88589273,,15.91687213,,0.162786939
5182,1,1,F070802060502_476 - Go To Location 1,1,1,5182,,,,,,,,,8.252015272,,12.75040771,,0.132449397
5183,1,1,F070802060502_478 - Go To Location 1,2,1,5183,,,,,,,,,8.671142243,,12.94710896,,0.131258651
5184,1,1,F070802060502_479 - Go To Location 1,2,1,5184,,,,,,,,,9.991856159,,14.30108033,,0.14632394
5185,1,1,F070802060502_480 - Go To Location 1,2,1,5185,,,,,,,,,11.15617628,,15.38174125,,0.157961476
5186,1,1,F070802060502_483 - Go To Location 1,1,1,5186,,,,,,,,,9.442056186,,13.7537206,,0.139757277
5187,1,1,F070802060502_484 - Go To Location 1,1,1,5187,,,,,,,,,9.753684659,,14.05180205,,0.143333304
5188,1,1,F070802060502_485 - Go To Location 1,2,1,5188,,,,,,,,,10.08048118,,14.3947946,,0.147448555
