OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,ReducedCostTon,MLRA,HUC12
29,F070600061002_262,1992.392133,17428.79773,4.304913044,176.5014343,60,842.0410156,18.02821946,0.002370762,63.63160896,127263,60.45002842,22277.69806,1018.54248,16.8493309,104,070600061002
30,F070600061002_70,1529.190703,13194.96045,3.259155273,133.6253662,70,743.7392578,11.5099175,0.001513587,6.114006996,12228,5.808306694,2140.539983,877.364624,151.053421,104,070600061002
31,F070801010301_1,5669.625071,48863.04369,12.06917191,494.8360596,80,3147.640137,38.5896337,0.005074645,62.35935533,124719,59.24138832,21832.27695,3642.476074,61.48532486,108c,070801010301
32,F070801010301_100,4174.674368,36025.98559,8.898418427,364.835144,71,2059.62793,31.92889114,0.004198739,47.26084991,94521,44.89780742,16546.22543,2424.463135,53.99958801,108c,070801010301
33,F070801010301_108,2259.529451,19609.18673,4.843469143,198.5822296,49,773.6957397,16.95685135,0.002229874,8.537154801,17075,8.110297013,2988.894344,972.2779541,119.8819199,108c,070801010301
34,F070801010301_109,2365.469188,21104.07073,5.212705612,213.720932,71,1206.532715,16.51886165,0.002172277,8.0671224,16134,7.663766444,2824.334071,1420.253662,185.3205872,108c,070801010301
35,F070801010301_110,3762.535502,33358.84172,8.23963356,337.8249817,62,1665.394775,22.00695419,0.002893976,9.815893173,19632,9.325098038,3436.585952,2003.219727,214.8202362,108c,070801010301
36,F070801010301_112,5247.199092,45214.12967,11.1678896,457.8834839,87,3167.436768,28.23600328,0.003713114,56.87337565,113747,54.02970791,19911.61213,3625.320313,67.09864807,108c,070801010301
37,F070801010301_114,4036.237878,34303.31548,8.47291851,347.3896484,73,2016.385132,24.98005849,0.003284948,11.8687669,23738,11.27532846,4155.305953,2363.774902,209.6413269,108c,070801010301
38,F070801010301_128,2572.241877,21695.39905,5.358763695,219.7093048,87,1519.852417,15.76208992,0.002072759,18.90294049,37805,17.95779365,6618.000275,1739.561768,96.86946106,108c,070801010301
39,F070801010301_129,3955.458506,34590.73943,8.543912888,350.300415,54,1504.070435,24.56866542,0.003230849,47.96445662,95929,45.56623226,16792.56058,1854.37085,40.69616318,108c,070801010301
40,F070801010301_135,1968.24193,16684.74679,4.121132374,168.9664307,50,671.7445679,10.44925451,0.001374106,4.472757697,8946,4.249119639,1565.931511,840.7109985,197.8553314,108c,070801010301
41,F070801010301_136,6203.518522,53568.42534,13.23140144,542.4874878,64,2760.599609,42.90591839,0.005642249,20.73385192,41469,19.69715922,7259.010084,3303.087158,167.693573,108c,070801010301
42,F070801010301_148,3764.168007,32581.21483,8.047559738,329.9499512,58,1521.632813,21.92898297,0.002883723,45.47482705,90948,43.20108676,15920.93159,1851.582764,42.8596344,108c,070801010301
43,F070801010301_156,2760.337633,23668.21211,5.846048355,239.6879883,73,1391.242554,18.70348549,0.002459561,33.71560669,67431,32.02982712,11803.9782,1630.930542,50.91911697,108c,070801010301
44,F070801010301_169,1835.067395,15727.28305,3.884639025,159.2702026,73,924.4663086,15.29915869,0.002011882,35.20131683,70403,33.44125128,12324.13149,1083.736572,32.40717697,108c,070801010301
45,F070801010301_171,6758.000321,58375.32369,14.41870499,591.1669312,74,3478.368408,37.85395028,0.004977901,45.6073923,91216,43.32702345,15967.34314,4069.5354,93.92603302,108c,070801010301
46,F070801010301_179,2131.007895,18697.8832,4.618377209,189.3534698,60,903.3545532,15.36135149,0.002020061,8.732863665,17466,8.296220303,3057.412805,1092.708008,131.7115479,108c,070801010301
47,F070801010301_193,1977.475631,17300.31482,4.273177624,175.2002869,59,821.9029541,12.57438397,0.001653567,21.92884314,43857,20.83240175,7677.381935,997.1032715,47.86309814,108c,070801010301
48,F070801010301_194,2910.918579,25566.10573,6.314827919,258.907959,65,1338.111938,21.44409209,0.002819958,31.83400857,63668,30.24230852,11145.22252,1597.019897,52.80747223,108c,070801010301
49,F070801010301_199,3420.01975,29959.77879,7.400065422,303.4026794,70,1688.694946,16.31820381,0.00214589,8.147946134,16297,7.740548819,2852.630742,1992.097656,257.3587036,108c,070801010301
50,F070801010301_206,3336.659059,29457.93055,7.276108742,298.3204651,63,1494.367188,21.25374603,0.002794927,30.44092751,60882,28.91888046,10657.4985,1792.687622,61.9902153,108c,070801010301
51,F070801010301_208,3924.129757,33787.97361,8.345629692,342.1708069,71,1931.679443,32.53910965,0.004278984,49.46767946,98935,46.99429509,17318.84573,2273.850342,48.38566589,108c,070801010301
52,F070801010301_209,1844.157447,15811.31951,3.905395985,160.1212311,90,1145.84314,18.73000461,0.002463048,17.95468598,35909,17.05695126,6286.012099,1305.964355,76.56493378,108c,070801010301
53,F070801010301_216,2194.387984,19015.57458,4.696846962,192.5707245,69,1056.508667,12.45273588,0.00163757,5.807575253,11616,5.51719647,2033.256895,1249.079346,226.3974762,108c,070801010301
54,F070801010301_217,2280.279325,19789.17336,4.887925625,200.404953,67,1067.620728,18.89305241,0.00248449,8.952215001,17905,8.504604444,3134.208782,1268.025635,149.0987244,108c,070801010301
55,F070801010301_225,5951.520498,51814.10005,12.79808235,524.7213745,53,2211.252686,35.75681915,0.004702122,64.6036109,129207,61.373431,22618.00037,2735.974121,44.57912827,108c,070801010301
56,F070801010301_232,2465.409582,21228.47657,5.243433475,214.9807739,66,1128.177246,14.5086484,0.001907928,20.57504201,41150,19.54628992,7203.410097,1343.157959,68.71677399,108c,070801010301
57,F070801010301_246,1712.665713,14875.88237,3.674342871,150.648056,71,850.4634399,12.48098338,0.001641284,22.67046905,45341,21.53694487,7937.027781,1001.111511,46.48345184,108c,070801010301
58,F070801010301_248,3424.904368,29746.25695,7.347325325,301.2403259,81,1940.134766,16.74801885,0.002202412,8.653327218,17306,8.220660801,3029.566801,2241.375,272.6514282,108c,070801010301
59,F070801010301_259,1694.257454,14721.81474,3.636288166,149.0878143,86,1019.469788,10.94339129,0.001439087,22.95966494,45920,21.81168127,8038.276611,1168.557617,53.57485199,108c,070801010301
60,F070801010301_260,9456.042804,81740.69431,20.18995094,827.7879639,81,5331.358398,71.23752132,0.009367935,102.1724752,204344,97.06385044,35771.01963,6159.146484,63.45458603,108c,070801010301
61,F070801010301_264,3394.251289,29198.31624,7.211984158,295.6913452,76,1786.841187,24.32474883,0.003198773,37.37207863,74744,35.50347482,13084.12441,2082.532471,58.65714645,108c,070801010301
62,F070801010301_265,7204.328476,62993.75631,15.55945778,637.9377441,67,3398.49707,50.59028249,0.006652765,104.6163199,209232,99.38550317,36626.62019,4036.434814,40.6139183,108c,070801010301
63,F070801010301_267,2157.048771,18674.95507,4.612713814,189.1212616,63,947.3591919,12.52451992,0.00164701,24.81506228,49630,23.57431006,8687.859632,1136.480469,48.20843124,108c,070801010301
64,F070801010301_289,989.4643264,8521.444321,2.104796648,86.29666138,70,480.3146057,6.970752716,0.000916674,2.815315843,5630,2.674550116,985.6541262,566.6112671,211.8529205,108c,070801010301
65,F070801010301_308,1447.210074,12182.11403,3.008982182,123.3682709,66,647.4125977,8.614386857,0.001132816,22.79519081,45591,21.65543211,7980.693979,770.7808838,35.59295654,108c,070801010301
66,F070801010301_329,3284.21268,28454.89307,7.028358459,288.1626892,69,1580.958984,20.99656534,0.002761107,9.965038061,19931,9.466786146,3488.802386,1869.121704,197.4399414,108c,070801010301
67,F070801010301_356,2631.715151,23522.26527,5.809999466,238.2099762,90,1704.653809,19.97963911,0.002627379,39.87632728,79753,37.88251245,13960.87308,1942.86377,51.28656006,108c,070801010301
68,F070801010301_357,3266.297865,28288.77569,6.987327576,286.4804382,70,1594.508179,22.73696945,0.002989975,50.68852683,101377,48.15410125,17746.27004,1880.988647,39.06185913,108c,070801010301
69,F070801010301_360,2764.635077,23701.58724,5.854291916,240.0259705,88,1679.47937,15.07932591,0.001982974,18.63978815,37280,17.70779896,6525.86953,1919.505371,108.3988647,108c,070801010301
70,F070801010301_376,2610.244346,22815.61018,5.635455608,231.0536804,80,1469.726807,20.26855445,0.002665372,8.941707134,17883,8.494621992,3130.529941,1700.780518,200.2185059,108c,070801010301
71,F070801010301_389,2594.236902,22668.61867,5.59914875,229.565094,83,1515.0177,19.54624486,0.002570386,8.440081775,16881,8.018077731,2954.908697,1744.582764,217.5811768,108c,070801010301
72,F070801010301_393,1891.373115,16243.3851,4.012115955,164.4967499,77,1007.121338,11.59932949,0.001525344,20.92786945,41855,19.88147613,7326.936545,1171.618042,58.93013382,108c,070801010301
