OBJECTID,FacilityID,Name,Total_TruckTravelTime,Total_Kilometers,Shape_Length
1234,1,F070801010605_318 - Go To Location 1,26.24941454,27.47592278,0.268322366
1235,1,F070801010605_319 - Go To Location 1,27.03564472,27.78761971,0.269447274
1236,1,F070801010605_324 - Go To Location 1,29.11372013,31.01797875,0.305519444
1237,1,F070801010605_325 - Go To Location 1,30.07839007,31.94326644,0.315117507
1238,1,F070801010605_327 - Go To Location 1,28.86516359,30.78533192,0.303423301
1239,1,F070801010605_328 - Go To Location 1,30.28325561,32.14538823,0.317536972
1240,1,F070801010605_342 - Go To Location 1,32.61291833,29.27732213,0.276506075
1241,1,F070801010605_345 - Go To Location 1,40.20972103,35.91940162,0.350042904
1242,1,F070801010605_348 - Go To Location 1,34.69361138,30.50208393,0.291210698
1243,1,F070801010605_352 - Go To Location 1,32.98230905,29.42956363,0.277391688
1244,1,F070801010605_376 - Go To Location 1,31.62730976,33.37072627,0.326718171
1245,1,F070801010605_387 - Go To Location 1,35.48086655,30.25728156,0.287682238
1246,1,F070801010605_390 - Go To Location 1,32.01025355,29.48299518,0.286954014
1247,1,F070801010605_391 - Go To Location 1,29.17065987,28.91507645,0.28028094
1248,1,F070801010605_392 - Go To Location 1,34.16034175,30.97823211,0.295946159
1249,1,F070801010605_406 - Go To Location 1,35.0135754,31.446345,0.298899406
1250,1,F070801010605_410 - Go To Location 1,35.60056355,31.94991768,0.304158897
1251,1,F070801030202_9 - Go To Location 1,39.47841278,51.73050809,0.53325338
1252,1,F070801030202_12 - Go To Location 1,40.26499782,52.61160921,0.541207014
1253,1,F070801030202_13 - Go To Location 1,38.63037222,42.87121271,0.435007555
1254,1,F070801030202_17 - Go To Location 1,40.12738516,53.16359652,0.548203347
1255,1,F070801030202_23 - Go To Location 1,37.38987721,50.96947595,0.526749913
1256,1,F070801030202_29 - Go To Location 1,33.50409435,42.9824386,0.436799547
1257,1,F070801030202_30 - Go To Location 1,34.21608667,44.86436883,0.457813622
1258,1,F070801030202_31 - Go To Location 1,39.97971085,52.29204216,0.538323682
1259,1,F070801030202_32 - Go To Location 1,39.81217993,52.10438071,0.536630475
1260,1,F070801030202_40 - Go To Location 1,34.59586607,45.2783975,0.462601835
1261,1,F070801030202_42 - Go To Location 1,41.43131421,54.29780072,0.558797972
1262,1,F070801030202_44 - Go To Location 1,40.47245448,52.84399387,0.543303744
1263,1,F070801030202_50 - Go To Location 1,35.45649848,45.99995193,0.470852901
1264,1,F070801030202_52 - Go To Location 1,34.13738426,44.77370369,0.456742446
1265,1,F070801030202_53 - Go To Location 1,37.93313168,49.40406552,0.50358163
1266,1,F070801030202_60 - Go To Location 1,37.67430533,49.12837544,0.501099548
1267,1,F070801030202_64 - Go To Location 1,35.1734684,45.72892227,0.467611738
1268,1,F070801030202_81 - Go To Location 1,36.94788066,48.84763472,0.501561415
1269,1,F070801030202_83 - Go To Location 1,33.39190413,43.79643928,0.447277594
1270,1,F070801030202_84 - Go To Location 1,34.70776101,45.2593783,0.462263046
1271,1,F070801030202_93 - Go To Location 1,38.62740474,42.86894221,0.434970978
1272,1,F070801030202_95 - Go To Location 1,40.59965838,52.9864826,0.544588044
1273,1,F070801030202_96 - Go To Location 1,40.501555,53.47845375,0.551040823
1274,1,F070801030202_114 - Go To Location 1,36.31410341,46.798473,0.480167512
1275,1,F070801030202_146 - Go To Location 1,33.09123092,38.52973486,0.397014636
1276,1,F070801030202_148 - Go To Location 1,28.63349164,36.84043789,0.378072729
1277,1,F070801030202_150 - Go To Location 1,34.54717931,43.59200947,0.454584314
1278,1,F070801030202_152 - Go To Location 1,32.8070441,41.81699344,0.433187089
1279,1,F070801030202_153 - Go To Location 1,31.91274252,41.6200043,0.4259572
1280,1,F070801030202_156 - Go To Location 1,31.19777363,40.81217126,0.429814301
1281,1,F070801030202_159 - Go To Location 1,30.99354697,39.61054804,0.41037341
1282,1,F070801030202_165 - Go To Location 1,33.43876816,41.83420619,0.43233411
1283,1,F070801030202_166 - Go To Location 1,32.19569804,40.63514139,0.422797606
1284,1,F070801030202_169 - Go To Location 1,29.43935075,38.23178149,0.398722519
1285,1,F070801030202_170 - Go To Location 1,28.96305262,36.01878773,0.37074354
1286,1,F070801030202_171 - Go To Location 1,31.23254376,39.62053035,0.410570262
1287,1,F070801030202_177 - Go To Location 1,30.111967,39.21880545,0.410615127
1288,1,F070801030202_178 - Go To Location 1,31.76007463,40.44998868,0.420485607
1289,1,F070801030202_180 - Go To Location 1,28.39201867,36.69495709,0.38020487
1290,1,F070801030202_181 - Go To Location 1,28.63839262,37.05643754,0.384560334
1291,1,F070801030202_185 - Go To Location 1,31.51634595,40.02349847,0.407822402
1292,1,F070801030202_188 - Go To Location 1,35.85672743,45.07657553,0.466943682
1293,1,F070801030202_190 - Go To Location 1,33.27562995,41.65573558,0.427482455
1294,1,F070801030202_192 - Go To Location 1,34.10924212,43.58381212,0.449679797
1295,1,F070801030202_193 - Go To Location 1,34.30501809,43.78933104,0.452157655
1296,1,F070801030202_195 - Go To Location 1,30.61461929,39.52700003,0.405277098
1297,1,F070801030202_196 - Go To Location 1,31.92733492,40.31735051,0.415629511
1298,1,F070801030202_198 - Go To Location 1,31.10660719,39.58006087,0.403829875
1299,1,F070801030202_199 - Go To Location 1,32.60522977,41.01521374,0.422881512
1300,1,F070801030202_201 - Go To Location 1,32.90868617,38.72996212,0.399978272
1301,1,F070801030202_202 - Go To Location 1,30.88580356,39.30473809,0.402264518
1302,1,F070801030202_205 - Go To Location 1,30.26846463,36.4938534,0.375102709
1303,1,F070801030202_211 - Go To Location 1,28.00756831,35.96345903,0.370147761
1304,1,F070801030202_212 - Go To Location 1,40.98600062,53.4298519,0.548589619
1305,1,F070801030202_214 - Go To Location 1,31.08229064,40.39986733,0.413324719
1306,1,F070801030202_215 - Go To Location 1,32.31202547,41.71959739,0.427203594
1307,1,F070801030202_216 - Go To Location 1,37.46392308,48.96489788,0.501550095
1308,1,F070801030202_217 - Go To Location 1,32.3437323,41.75269681,0.427602673
1309,1,F070801030202_218 - Go To Location 1,32.74147516,42.17601903,0.429539624
1310,1,F070801030202_223 - Go To Location 1,32.65891248,41.30840994,0.426591805
1311,1,F070801030202_224 - Go To Location 1,34.29741724,41.960033,0.431611952
1312,1,F070801030202_227 - Go To Location 1,30.75084998,38.36556879,0.396694071
1313,1,F070801030202_228 - Go To Location 1,29.21452193,35.76396109,0.367701611
1314,1,F070801030202_230 - Go To Location 1,26.77333964,35.31572149,0.364621668
1315,1,F070801030202_232 - Go To Location 1,34.60968881,44.42120556,0.458994326
1316,1,F070801030202_235 - Go To Location 1,37.32547922,46.04079406,0.477922859
1317,1,F070801030202_239 - Go To Location 1,35.65114931,45.47280213,0.469816742
1318,1,F070801030202_242 - Go To Location 1,37.30017536,42.09055616,0.428567489
1319,1,F070801030202_243 - Go To Location 1,29.28582719,38.00649936,0.396008059
1320,1,F070801030202_254 - Go To Location 1,30.82804408,40.02480942,0.40991641
1321,1,F070801030202_256 - Go To Location 1,35.29751539,45.84891386,0.469032763
1322,1,F070801030202_257 - Go To Location 1,26.91798548,35.59489476,0.368186864
1323,1,F070801030202_259 - Go To Location 1,32.94215139,42.37739904,0.435134595
1324,1,F070801030202_261 - Go To Location 1,32.71967021,42.14514628,0.432334363
1325,1,F070801030202_263 - Go To Location 1,31.79977507,40.21393916,0.413222997
1326,1,F070801030202_264 - Go To Location 1,32.78495874,41.76451197,0.446625538
1327,1,F070801030202_265 - Go To Location 1,31.06860917,40.08271069,0.41228203
1328,1,F070801030202_266 - Go To Location 1,30.86712059,39.88170321,0.409859311
1329,1,F070801030202_267 - Go To Location 1,34.22168701,43.77573975,0.449067305
1330,1,F070801030202_268 - Go To Location 1,31.12149828,39.53920578,0.405090518
1331,1,F070801030202_269 - Go To Location 1,31.43193345,39.93487412,0.407024477
1332,1,F070801030202_270 - Go To Location 1,33.71776988,43.21299858,0.443997765
1333,1,F070801030202_281 - Go To Location 1,37.86560142,42.41078279,0.430136559
1334,1,F070801030202_286 - Go To Location 1,34.69490815,41.02165573,0.421332651
1335,1,F070801030202_288 - Go To Location 1,31.24578574,40.64105105,0.415516484
1336,1,F070801030202_291 - Go To Location 1,37.72841064,47.9439903,0.491777179
1337,1,F070801030202_293 - Go To Location 1,32.17033569,40.50213083,0.414621105
1338,1,F070801030202_294 - Go To Location 1,38.39036064,42.68757424,0.433147546
1339,1,F070801030202_296 - Go To Location 1,32.56539202,40.85358491,0.417785389
1340,1,F070801030202_300 - Go To Location 1,38.27694347,49.80094866,0.511559476
1341,1,F070801030202_320 - Go To Location 1,34.17433954,43.29058864,0.443695169
1342,1,F070801030202_328 - Go To Location 1,32.83038165,41.22889032,0.425038754
1343,1,F070801030202_342 - Go To Location 1,34.0355796,42.25639947,0.437422959
1344,1,F070801030202_344 - Go To Location 1,32.73069174,41.00064055,0.41910939
1345,1,F070801030202_348 - Go To Location 1,30.12278609,38.17515494,0.390716903
1346,1,F070801030202_349 - Go To Location 1,33.17461007,41.22673972,0.42114496
1347,1,F070801030202_351 - Go To Location 1,28.76501028,37.02469879,0.379737973
1348,1,F070801030202_356 - Go To Location 1,30.62008918,36.61095967,0.376324066
1349,1,F070801030202_360 - Go To Location 1,30.96945588,36.99267616,0.380693358
1350,1,F070801030202_367 - Go To Location 1,33.50877846,43.22140643,0.444531779
1351,1,F070801030202_368 - Go To Location 1,33.15497941,42.61108373,0.433457303
1352,1,F070801030202_376 - Go To Location 1,32.3801433,41.3911248,0.428053264
1353,1,F070801030202_377 - Go To Location 1,32.7544556,42.461136,0.435397973
1354,1,F070801030202_378 - Go To Location 1,30.66647348,39.68153518,0.407446709
1355,1,F070801030202_380 - Go To Location 1,37.44160491,46.08336951,0.478347068
1356,1,F070801030202_385 - Go To Location 1,31.34133999,39.9988897,0.415051545
1357,1,F070801030202_396 - Go To Location 1,32.01138496,41.40786133,0.422622013
1358,1,F070801030202_400 - Go To Location 1,32.77113547,41.16647945,0.423077764
1359,1,F070801030202_401 - Go To Location 1,35.26988406,44.80225838,0.464368974
1360,1,F070801030202_404 - Go To Location 1,33.353914,41.74978031,0.431316667
1361,1,F070801030202_405 - Go To Location 1,33.12933846,41.52633824,0.428623732
1362,1,F070801030202_406 - Go To Location 1,30.82688023,39.24612151,0.401558021
1363,1,F070801030202_407 - Go To Location 1,31.90738572,40.3314259,0.419137581
1364,1,F070801030202_408 - Go To Location 1,29.45650064,38.25694743,0.399025747
1365,1,F070801030202_409 - Go To Location 1,28.74081458,37.20674243,0.386371402
1366,1,F070801030202_413 - Go To Location 1,38.59183339,42.84172575,0.434722217
1367,1,F070801030202_417 - Go To Location 1,28.74292889,37.45099278,0.388154761
1368,1,F070801030203_192 - Go To Location 1,37.34020296,48.77250475,0.497895618
1369,1,F070801030203_290 - Go To Location 1,37.105732,49.07802876,0.504337354
1370,1,F070801030301_3 - Go To Location 1,18.30714368,19.90931632,0.22245303
1371,1,F070801030301_4 - Go To Location 1,17.5235904,19.31490495,0.215642522
1372,1,F070801030301_6 - Go To Location 1,11.6932843,14.7189384,0.160267931
1373,1,F070801030301_8 - Go To Location 1,7.12025558,8.967355929,0.099877229
1374,1,F070801030301_9 - Go To Location 1,19.94291945,20.31321057,0.224428081
1375,1,F070801030301_19 - Go To Location 1,12.76970383,15.50661251,0.17374838
1376,1,F070801030301_21 - Go To Location 1,13.14438493,15.95885123,0.178147328
1377,1,F070801030301_22 - Go To Location 1,12.85692286,15.61188555,0.174772367
1378,1,F070801030301_31 - Go To Location 1,11.84239104,11.17234732,0.123491153
1379,1,F070801030301_32 - Go To Location 1,9.930429194,10.66251723,0.118352202
1380,1,F070801030301_33 - Go To Location 1,7.589057646,10.21453405,0.114586018
1381,1,F070801030301_34 - Go To Location 1,8.306177034,10.2293273,0.114186261
1382,1,F070801030301_35 - Go To Location 1,13.63154457,15.79147269,0.167743652
1383,1,F070801030301_36 - Go To Location 1,9.613695024,13.12162809,0.148046969
1384,1,F070801030301_37 - Go To Location 1,11.50414245,14.20886648,0.157480569
1385,1,F070801030301_41 - Go To Location 1,13.43752505,16.55848624,0.187298033
1386,1,F070801030301_44 - Go To Location 1,8.813117367,11.93720163,0.125016774
1387,1,F070801030301_47 - Go To Location 1,8.562428665,10.46391609,0.116786004
1388,1,F070801030301_52 - Go To Location 1,10.37597825,13.05288245,0.144294
1389,1,F070801030301_53 - Go To Location 1,9.148759963,11.9104917,0.133371628
1390,1,F070801030301_54 - Go To Location 1,9.160183878,11.92582086,0.133555714
1391,1,F070801030301_55 - Go To Location 1,10.69107307,13.617313,0.149165651
1392,1,F070801030301_63 - Go To Location 1,11.84239104,11.17234732,0.123491153
1393,1,F070801030301_66 - Go To Location 1,7.512549726,10.01868052,0.107744717
1394,1,F070801030301_73 - Go To Location 1,9.479583448,12.06119086,0.128396588
1395,1,F070801030301_75 - Go To Location 1,10.32595796,12.98549201,0.139485653
1396,1,F070801030301_76 - Go To Location 1,11.84239104,11.17234732,0.123491153
1397,1,F070801030301_77 - Go To Location 1,9.829742139,12.4913056,0.133578257
1398,1,F070801030301_78 - Go To Location 1,11.84239104,11.17234732,0.123491153
1399,1,F070801030301_79 - Go To Location 1,11.84239104,11.17234732,0.123491153
1400,1,F070801030301_82 - Go To Location 1,8.350457902,11.33771884,0.127467779
1401,1,F070801030301_83 - Go To Location 1,10.29897244,12.14272626,0.135889966
1402,1,F070801030301_85 - Go To Location 1,11.7858375,13.62905079,0.150274528
1403,1,F070801030301_87 - Go To Location 1,10.50735444,13.05363776,0.140266698
1404,1,F070801030301_89 - Go To Location 1,9.127484502,11.87048948,0.126304326
1405,1,F070801030301_90 - Go To Location 1,11.83067636,13.73233529,0.15020234
1406,1,F070801030301_91 - Go To Location 1,12.7243574,13.69158103,0.151024786
1407,1,F070801030301_92 - Go To Location 1,11.96932866,13.90740992,0.151778778
1408,1,F070801030301_96 - Go To Location 1,10.62751625,13.71321337,0.142355716
1409,1,F070801030301_98 - Go To Location 1,11.95132528,13.35968022,0.139332189
1410,1,F070801030301_99 - Go To Location 1,9.552893295,12.59978034,0.131313671
1411,1,F070801030301_100 - Go To Location 1,11.96869589,13.36315424,0.139373878
1412,1,F070801030301_101 - Go To Location 1,12.3545831,14.69869634,0.154759973
1413,1,F070801030301_104 - Go To Location 1,17.89917391,14.57791126,0.153887716
1414,1,F070801030301_106 - Go To Location 1,17.47532756,21.28376232,0.220002041
1415,1,F070801030301_107 - Go To Location 1,13.66625193,15.56148459,0.166871523
1416,1,F070801030301_110 - Go To Location 1,13.81614759,17.39784658,0.195533928
1417,1,F070801030301_116 - Go To Location 1,18.05205079,23.14272754,0.261649545
1418,1,F070801030301_117 - Go To Location 1,16.93466997,22.36522986,0.249681136
1419,1,F070801030301_120 - Go To Location 1,18.83681052,24.39019005,0.268961422
1420,1,F070801030301_123 - Go To Location 1,23.37377881,28.49113394,0.315751686
1421,1,F070801030301_124 - Go To Location 1,23.37377881,28.49113394,0.315751686
1422,1,F070801030301_128 - Go To Location 1,18.57103005,24.12234125,0.26654972
1423,1,F070801030301_135 - Go To Location 1,17.27895779,22.12673117,0.248985536
1424,1,F070801030301_139 - Go To Location 1,19.42937908,23.33624507,0.261284177
1425,1,F070801030301_140 - Go To Location 1,18.39893239,23.00993696,0.257539242
1426,1,F070801030301_146 - Go To Location 1,17.49142117,22.78044821,0.254555292
1427,1,F070801030301_149 - Go To Location 1,14.57376786,19.46565532,0.219792562
1428,1,F070801030301_151 - Go To Location 1,15.28296873,20.03952338,0.225292244
1429,1,F070801030301_160 - Go To Location 1,15.42147685,20.70898223,0.234491051
1430,1,F070801030301_162 - Go To Location 1,23.06955152,25.91428993,0.295187619
1431,1,F070801030301_166 - Go To Location 1,13.7971113,15.0968888,0.16304096
1432,1,F070801030301_170 - Go To Location 1,19.25619982,25.44322843,0.284413702
1433,1,F070801030301_171 - Go To Location 1,20.72611837,26.91819351,0.299001599
1434,1,F070801030301_175 - Go To Location 1,20.34077591,27.02699267,0.303426288
1435,1,F070801030301_179 - Go To Location 1,19.80910354,24.72753452,0.278926374
1436,1,F070801030301_180 - Go To Location 1,19.57247793,24.24676444,0.274812012
1437,1,F070801030301_182 - Go To Location 1,21.58737201,27.34522177,0.306138347
1438,1,F070801030301_184 - Go To Location 1,20.57528554,25.39715506,0.285180209
1439,1,F070801030301_185 - Go To Location 1,20.70896633,27.13135479,0.30092045
1440,1,F070801030301_189 - Go To Location 1,25.93785138,28.35585715,0.319109096
1441,1,F070801030301_191 - Go To Location 1,19.85890228,26.33235442,0.295086996
1442,1,F070801030301_193 - Go To Location 1,20.04383032,26.6051662,0.298361888
1443,1,F070801030301_195 - Go To Location 1,20.73455762,27.00835349,0.299999751
1444,1,F070801030301_196 - Go To Location 1,20.73455762,27.00835349,0.299999751
1445,1,F070801030301_198 - Go To Location 1,18.62172955,23.69442054,0.269624952
