radius,transport_cost,discount_rate,yield,breakeven_price
Farmgate,0,0.05,2.0,490.78279573235585
Farmgate,0,0.05,2.1159420289855073,463.89058774702124
Farmgate,0,0.05,2.2318840579710146,439.79237539652655
Farmgate,0,0.05,2.3478260869565215,418.0742334016365
Farmgate,0,0.05,2.463768115942029,398.40015182979477
Farmgate,0,0.05,2.579710144927536,380.4945270284556
Farmgate,0,0.05,2.6956521739130435,364.1291710272317
Farmgate,0,0.05,2.8115942028985508,349.11353510858294
Farmgate,0,0.05,2.927536231884058,335.2872564904213
Farmgate,0,0.05,3.0434782608695654,322.5144086241194
Farmgate,0,0.05,3.1594202898550723,310.67901748195
Farmgate,0,0.05,3.27536231884058,299.6815301374561
Farmgate,0,0.05,3.391304347826087,289.4360077395945
Farmgate,0,0.05,3.5072463768115942,279.8678752523351
Farmgate,0,0.05,3.6231884057971016,270.91210324426044
Farmgate,0,0.05,3.7391304347826084,262.51172794986473
Farmgate,0,0.05,3.855072463768116,254.61663838746273
Farmgate,0,0.05,3.971014492753623,247.18257595279232
Farmgate,0,0.05,4.086956521739131,240.17030429455707
Farmgate,0,0.05,4.202898550724638,233.54491658987965
Farmgate,0,0.05,4.318840579710145,227.27525439954732
Farmgate,0,0.05,4.434782608695652,221.33341768321924
Farmgate,0,0.05,4.55072463768116,215.6943497167678
Farmgate,0,0.05,4.666666666666666,210.33548388529533
Farmgate,0,0.05,4.782608695652174,205.2364418517124
Farmgate,0,0.05,4.898550724637682,200.37877458894997
Farmgate,0,0.05,5.0144927536231885,195.74573933833838
Farmgate,0,0.05,5.130434782608695,191.32210681091837
Farmgate,0,0.05,5.246376811594203,187.0939939532185
Farmgate,0,0.05,5.36231884057971,183.04871840828406
Farmgate,0,0.05,5.478260869565217,179.17467145784417
Farmgate,0,0.05,5.594202898550725,175.46120676441734
Farmgate,0,0.05,5.710144927536232,171.89854266767787
Farmgate,0,0.05,5.826086956521739,168.4776761469281
Farmgate,0,0.05,5.942028985507246,165.19030685625634
Farmgate,0,0.05,6.057971014492754,162.02876988293087
Farmgate,0,0.05,6.173913043478261,158.98597608231242
Farmgate,0,0.05,6.2898550724637685,156.0553590116707
Farmgate,0,0.05,6.405797101449275,153.23082762684413
Farmgate,0,0.05,6.521739130434782,150.5067240245891
Farmgate,0,0.05,6.63768115942029,147.87778561367924
Farmgate,0,0.05,6.753623188405797,145.33911118254312
Farmgate,0,0.05,6.869565217391305,142.88613040309093
Farmgate,0,0.05,6.9855072463768115,140.51457637150438
Farmgate,0,0.05,7.101449275362319,138.22046083890837
Farmgate,0,0.05,7.217391304347826,136.00005182944795
Farmgate,0,0.05,7.333333333333333,133.84985338155158
Farmgate,0,0.05,7.449275362318841,131.7665871810605
Farmgate,0,0.05,7.565217391304348,129.74717588326646
Farmgate,0,0.05,7.681159420289855,127.78872794540584
Farmgate,0,0.05,7.797101449275362,125.88852381238864
Farmgate,0,0.05,7.91304347826087,124.04400331696903
Farmgate,0,0.05,8.028985507246377,122.25275417159764
Farmgate,0,0.05,8.144927536231883,120.51250144317635
Farmgate,0,0.05,8.26086956521739,118.8210979141493
Farmgate,0,0.05,8.376811594202898,117.17651524405726
Farmgate,0,0.05,8.492753623188406,115.5768358550599
Farmgate,0,0.05,8.608695652173914,114.02024547317357
Farmgate,0,0.05,8.72463768115942,112.50502626422775
Farmgate,0,0.05,8.840579710144928,111.02955050994278
Farmgate,0,0.05,8.956521739130434,109.59227477518624
Farmgate,0,0.05,9.072463768115941,108.19173452246821
Farmgate,0,0.05,9.18840579710145,106.82653913417208
Farmgate,0,0.05,9.304347826086957,105.49536730695498
Farmgate,0,0.05,9.420289855072465,104.19696278625396
Farmgate,0,0.05,9.53623188405797,102.93013041195302
Farmgate,0,0.05,9.652173913043478,101.69373244904668
Farmgate,0,0.05,9.768115942028984,100.4866851796218
Farmgate,0,0.05,9.884057971014492,99.30795573469955
Farmgate,0,0.05,10.0,98.15655914647115
Farmgate,0,0.06,2.0,497.65843518709454
Farmgate,0,0.06,2.1159420289855073,470.3894798343771
Farmgate,0,0.06,2.2318840579710146,445.95366270012363
Farmgate,0,0.06,2.3478260869565215,423.93125960382133
Farmgate,0,0.06,2.463768115942029,403.98155326952383
Farmgate,0,0.06,2.579710144927536,385.8250789652755
Farmgate,0,0.06,2.6956521739130435,369.23045191300554
Farmgate,0,0.06,2.8115942028985508,354.00445389597445
Farmgate,0,0.06,2.927536231884058,339.9844755238566
Farmgate,0,0.06,3.0434782608695654,327.0326859800906
Farmgate,0,0.06,3.1594202898550723,315.03148649458274
Farmgate,0,0.06,3.27536231884058,303.8799294505267
Farmgate,0,0.06,3.391304347826087,293.49087203341475
Farmgate,0,0.06,3.5072463768115942,283.78869444553317
Farmgate,0,0.06,3.6231884057971016,274.70745622327615
Farmgate,0,0.06,3.7391304347826084,266.1893955651901
Farmgate,0,0.06,3.855072463768116,258.18369945796627
Farmgate,0,0.06,3.971014492753623,250.64548925481398
Farmgate,0,0.06,4.086956521739131,243.53497892134413
Farmgate,0,0.06,4.202898550724638,236.81677260627254
Farmgate,0,0.06,4.318840579710145,230.45927535509747
Farmgate,0,0.06,4.434782608695652,224.4341962608465
Farmgate,0,0.06,4.55072463768116,218.71612756630262
Farmgate,0,0.06,4.666666666666666,213.2821865087548
Farmgate,0,0.06,4.782608695652174,208.11170926005772
Farmgate,0,0.06,4.898550724637682,203.18598833082552
Farmgate,0,0.06,5.0144927536231885,198.48804640410125
Farmgate,0,0.06,5.130434782608695,194.00244083564704
Farmgate,0,0.06,5.246376811594203,189.71509407684817
Farmgate,0,0.06,5.36231884057971,185.61314609680824
Farmgate,0,0.06,5.478260869565217,181.68482554449486
Farmgate,0,0.06,5.594202898550725,177.91933693217368
Farmgate,0,0.06,5.710144927536232,174.30676156299245
Farmgate,0,0.06,5.826086956521739,170.83797028810707
Farmgate,0,0.06,5.942028985507246,167.5045464776074
Farmgate,0,0.06,6.057971014492754,164.29871783688765
Farmgate,0,0.06,6.173913043478261,161.2132959056785
Farmgate,0,0.06,6.2898550724637685,158.24162224843096
Farmgate,0,0.06,6.405797101449275,155.37752048827838
Farmgate,0,0.06,6.521739130434782,152.61525345737564
Farmgate,0,0.06,6.63768115942029,149.94948483803282
Farmgate,0,0.06,6.753623188405797,147.37524475497648
Farmgate,0,0.06,6.869565217391305,144.8878988519389
Farmgate,0,0.06,6.9855072463768115,142.48312044775733
Farmgate,0,0.06,7.101449275362319,140.15686542003886
Farmgate,0,0.06,7.217391304347826,137.90534950967677
Farmgate,0,0.06,7.333333333333333,135.7250277782985
Farmgate,0,0.06,7.449275362318841,133.61257598408375
Farmgate,0,0.06,7.565217391304348,131.5648736701514
Farmgate,0,0.06,7.681159420289855,129.57898878456425
Farmgate,0,0.06,7.797101449275362,127.65216367252609
