HUC12,IWAP,opArea_ha,n
070600060901,0,130.09015625307973,12
070600060901,1,97.1289219882316,12
070600060901,2,60.89980669149229,23
070600061002,0,262.366862589561,12
070600061002,1,101.57176428340506,5
070600061002,2,33.30784576197296,11
070801010301,0,2271.3331990485485,127
070801010301,1,714.0164182210659,30
070801010301,2,226.0941171959494,143
070801010302,0,242.94561757209723,14
070801010302,1,172.42993615785338,10
070801010302,2,26.485742872136598,18
070801010403,0,345.090766895989,14
070801010403,1,311.76863232613806,7
070801010403,2,71.88581585404539,44
070801010405,0,849.2714705448161,41
070801010405,1,237.7414502552027,14
070801010405,2,78.84884836621363,48
070801010601,0,397.83448354303573,35
070801010601,1,254.11413517255463,19
070801010601,2,30.00582660323301,16
070801010602,0,1905.7373647404845,111
070801010602,1,731.358055188947,30
070801010602,2,142.71085263572556,96
070801010603,0,342.69645311200946,29
070801010603,1,99.8087205424976,7
070801010603,2,22.656498402884033,13
070801010604,0,720.9856889561883,43
070801010604,1,311.9408450398698,14
070801010604,2,37.67184792664378,25
070801010605,0,580.53776156078,52
070801010605,1,246.5179115914878,13
070801010605,2,62.50389995471357,34
070801030202,0,2635.8724437438577,87
070801030202,1,518.1280471953759,14
070801030202,2,147.24585711975053,80
070801030301,0,2371.0899567739066,117
070801030301,1,2162.493548359674,71
070801030301,2,127.03869451873554,110
070801030302,0,1411.2120680563937,62
070801030302,1,542.522965660626,22
070801030302,2,113.39824065824041,64
070801030303,0,4061.294429236023,180
070801030303,1,1305.27875110914,53
070801030303,2,376.73754575271636,204
070801030401,0,2396.3306806620367,76
070801030401,1,677.1423546972021,24
070801030401,2,153.846723659715,54
070801030402,0,615.1362633734333,38
070801030402,1,641.6240120429961,42
070801030402,2,190.99534913514674,63
070801030403,0,1211.1226531847044,46
070801030403,1,461.6515712986045,22
070801030403,2,167.4212208133525,56
070801030404,0,173.14278008005468,12
070801030404,1,673.8007195948674,28
070801030404,2,3.92528385147516,6
070801030405,0,1454.8791759056658,72
070801030405,1,1124.5225651546655,51
070801030405,2,309.33629441475716,84
070801030406,0,4288.511344195947,177
070801030406,1,1001.3969520353673,34
070801030406,2,828.2396545253398,278
070801030407,0,3292.0150149991446,181
070801030407,1,777.8627327350393,41
070801030407,2,514.716523677966,239
070801030408,0,1398.2834519120904,56
070801030408,1,484.9835908349328,14
070801030408,2,258.6869692417082,98
070801030409,0,811.2798114910568,50
070801030409,1,881.6478337424779,30
070801030409,2,70.29169613880637,32
070801030601,0,1341.5975564432285,75
070801030601,1,307.45749673754597,13
070801030601,2,236.32299403711738,101
070801030602,0,1112.5110014188785,61
070801030602,1,556.7381127034373,28
070801030602,2,27.749734792777655,20
070801030603,0,1475.683975320084,89
070801030603,1,1089.2811114017884,46
070801030603,2,137.40927973245516,77
070801030604,0,225.328424657634,10
070801030604,1,27.059351680104882,2
070801030604,2,3.7349070482309,3
070801030605,0,826.5152959518459,44
070801030605,1,315.2737170549685,14
070801030605,2,115.84233825308776,50
070801030606,0,1126.4030087505416,53
070801030606,1,91.97250306581017,4
070801030606,2,97.65271577351969,33
070801030607,0,509.23858189729873,27
070801030607,1,233.19506644803573,9
070801030607,2,79.6016653771172,27
070802060301,0,1275.5129084223756,41
070802060301,1,314.4165681442964,8
070802060301,2,81.89939952832512,37
070802060302,0,2282.464591781245,91
070802060302,1,462.6020199688554,24
070802060302,2,205.48714654278984,98
070802060406,0,964.9472989075482,34
070802060406,1,236.81124055826572,9
070802060406,2,86.12332383999754,60
070802060407,0,435.41776781025226,24
070802060407,1,100.1211147234125,5
070802060407,2,72.06387592718632,25
070802060501,0,2361.295017187596,110
070802060501,1,1320.9246896545885,45
070802060501,2,134.00496624003333,129
070802060502,0,4124.823284103493,166
070802060502,1,1368.9258442547728,63
070802060502,2,174.54571025387128,162
070802060503,0,820.9315319787933,46
070802060503,1,667.0899261401086,28
070802060503,2,5.060320551953414,13
070802060601,0,3354.2706182543825,119
070802060601,1,1149.9445487904816,30
070802060601,2,171.39113048715143,134
070802060602,0,5100.427087973413,180
070802060602,1,764.8730454220245,23
070802060602,2,580.3791637446851,288
070802060603,0,2998.5314601301725,155
070802060603,1,856.0971351068946,40
070802060603,2,311.3448490335424,115
070802060704,0,2014.052637716571,84
070802060704,1,360.7508027903454,12
070802060704,2,260.71794465386085,111
070802060801,0,1441.5079835692445,56
070802060801,1,644.3902925701162,24
070802060801,2,232.11543447092683,75
070802060802,0,662.563144521908,34
070802060802,1,945.864908826494,31
070802060802,2,7.877554029414036,19
070802060803,0,1239.8936824653047,67
070802060803,1,627.6782538793475,31
070802060803,2,124.85546652658448,46
070802060804,0,827.1105906340978,42
070802060804,1,829.1449777333626,41
070802060804,2,41.263916523952396,46
070802060805,0,45.48205857724314,6
070802060805,1,247.12716436533896,4
070802060805,2,4.897995675327828,3
