MLRA,INRS,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgNO3,minDC_kgNO3,maxDC_kgNO3,meanTC_kgNO3,minTC_kgNO3,maxTC_kgNO3,opArea_ha,n
104,Perennial crops,667041.00558297,3217646.96316678,3884687.9554279,1469,76,12572,7087,60,63978,8557,156,76550,2.5034687408146534,0.768335348471988,4.21925824150364,13.966693040987353,2.453134368079054,56.13531915297907,6583.955036323232,454
104,Riparian buffers,10585.5477601,15374.24939048,25959.797150579998,460,377,606,668,99,1554,1129,561,2160,2.1559717489106704,0.3781410907753242,3.8393379577605162,4.623307412829195,1.3484956016512926,11.556116580624956,8.399652912034405,23
104,Rye cover crops,1678239.0357613,0,1678239.0357613,4227,684,16220,0,0,0,4227,684,16220,15.998651753865312,13.817406263222395,17.149685919029913,15.998651753865312,13.817406263222395,17.149685919029913,0,397
104,Treatment wetlands,2695578.162593,245791.2635587,2941369.426813,39641,7515,257989,3615,599,23820,43255,8227,281810,21.389440326305706,8.238830985162345,49.15353999106666,23.31093475342281,9.019117615398919,53.924679585306784,396.1012106110836,68
105,Perennial crops,146088.96746153999,618821.43478808,764910.4008466001,655,72,7937,2775,62,39560,3430,172,45413,2.0055487871910977,0.7437057856515873,4.218530726982624,10.790983606740761,3.010191372422794,32.65492639362096,1441.9551146455512,223
105,Rye cover crops,191992.896427,0,191992.896427,2594,828,8228,0,0,0,2594,828,8228,16.133785143928165,13.840401075970812,16.659689957963515,16.133785143928165,13.840401075970812,16.659689957963515,0,74
105,Treatment wetlands,268133.01171,22859.2376725,290992.24999,24376,11333,52079,2078,993,3514,26454,12326,55593,23.017854692723514,11.265035260234184,47.100201911919775,24.983346919015645,12.251810161647914,50.947233001691735,39.40075389196992,11
108c,Perennial crops,2699471.21792738,16854739.0811995,19554210.3012296,1168,48,15358,7290,0,112342,8458,183,127699,2.28276729407268,0.655921766131398,41.07755914082079,15.396436970378396,2.7518064962630833,152.12724423429438,26644.834362337755,2312
108c,Riparian buffers,48047.3888552,76325.14853453,124372.53738973,476,342,682,756,0,1727,1231,476,2322,1.5557017729972342,0.3424143395049864,5.011636268570286,3.4627302565074456,0.3930238973241797,15.612818370799664,38.1256972741504,101
108c,Rye cover crops,7767089.32797238,0,7767089.32797238,3672,79,25932,0,0,0,3672,79,25932,16.07006458155801,13.822431258891985,18.175972641616564,16.07006458155801,13.822431258891985,18.175972641616564,0,2115
108c,Treatment wetlands,11966447.068557,1143352.4571662,13109799.524588,34386,8253,228649,3285,480,24359,37672,8995,253008,20.953538773754502,6.396820869486164,62.89945789050785,22.930561508260137,6.942013851678674,69.07932110349019,1758.407263809937,348
115c,Perennial crops,6830.2225263,33682.5186774,40512.7409066,379,99,1876,1871,226,9847,2251,341,11723,1.9112513304697765,0.8736043987757972,4.0037865578795016,10.454021781365244,2.9527827868153174,29.471774802716617,67.41696296191972,18
115c,Rye cover crops,28429.887817,0,28429.887817,1895,1046,4862,0,0,0,1895,1046,4862,16.549203464151148,15.481645449243077,16.65911449451876,16.549203464151148,15.481645449243077,16.65911449451876,0,15
115c,Treatment wetlands,16345.98242,1160.956421,17506.93945,16346,16346,16346,1161,1161,1161,17507,17507,17507,24.481489140643156,24.481489140643156,24.481489140643156,26.220262387329317,26.220262387329317,26.220262387329317,2.4019572717843523,1
