MLRA,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,opArea_ha,n
104,560699.0821835,2751832.2221386,3312531.292116,2657,209,12572,13042,724,63978,15699,1018,76550,5534.318754553734,211
105,83203.9960715,376965.03868558,460169.0350057,1342,111,7937,6080,62,39560,7422,172,45413,821.2559084771307,62
108c,2193392.046534928,14414226.23190958,16607618.28340615,2539,3,15358,16683,0,112342,19222,21,127699,21649.635440979753,864
115c,4455.9760129,25145.080323000002,29601.055908,1114,619,1876,6286,2904,9847,7400,3523,11723,43.98222323799898,4
