MLRA,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,opArea_ha,n
104,534053.1573782,2624285.2141484,3158338.359432,2811,416,12572,13812,724,63978,16623,1331,76550,5271.313073415933,190
105,77372.1437994,349709.455955,427081.60023700004,2036,442,7937,9203,1195,39560,11239,1665,45413,763.6932510322894,38
108c,2136379.250123628,14105302.49924198,16241681.75345665,2760,3,15358,18224,19,112342,20984,21,127699,21086.896893448462,774
115c,4455.9760129,25145.080323000002,29601.055908,1114,619,1876,6286,2904,9847,7400,3523,11723,43.98222323799898,4
