HUC12,sum_hectares,mean_time,mean_dist
070600060901,163.32649670539266,45.87195947484849,58.8081567130303
070600061002,141.05227857034004,43.24124037090909,51.098498990454544
070801010301,973.2737503179253,NA,NA
070801010302,200.91001164322452,22.249150446086958,32.99690831782609
070801010403,385.20663102945997,25.42826095846154,40.06252636346154
070801010405,321.07413504668557,23.838352895076923,37.668020334615385
070801010601,290.2176160797847,23.42604093072727,35.895284094
070801010602,886.9929652936886,NA,NA
070801010603,122.46521894538164,27.010982503666668,33.057672391
070801010604,358.07824239483807,26.534400918214285,38.22659732267857
070801010605,311.40845264994687,NA,NA
070801030202,734.1119520169058,32.75419699849056,43.26165453716981
070801030203,7.282106468527159,35.958051354999995,48.984205180000004
070801030301,2414.651884478082,NA,NA
070801030302,677.3517221072906,18.375383836630434,23.29285432358696
070801030303,1797.981544032465,8.291430158675889,10.285792536944664
070801030401,884.7051938808952,34.982234286796114,40.760852713592236
070801030402,846.5633597334745,43.73099032081081,48.95290309972973
070801030403,658.8964425265152,37.508904107472524,40.78146251978022
070801030404,684.2461349896903,32.35564840744186,36.89702037813954
070801030405,1499.6803292830866,39.689572628544305,45.62695801126582
070801030406,1875.5973219088437,24.47313167821818,29.71905011978182
070801030407,1334.0177859558582,NA,NA
070801030408,741.4003442905575,NA,NA
070801030409,1019.3337630372725,23.156200800373625,26.800926633626375
070801030601,578.1797936762159,41.0522833921239,53.10638065
070801030602,596.6121357957467,36.47382145252873,53.21869855344828
070801030603,1364.7249744597705,NA,NA
070801030604,48.3715961623233,37.42182815,61.45591067466667
070801030605,459.9940222749336,29.112778336338028,43.960550763802814
070801030606,255.04050980150498,28.941539402982457,44.854868007368424
070801030607,318.4998676083291,32.71151164772727,50.87169814954545
070802060301,422.47046042435915,32.1975900096,40.8555698014
070802060302,692.3308981023756,NA,NA
070802060406,323.63232552270136,29.694522986603772,38.494190941132075
070802060407,158.47574200049846,28.930628879411763,43.27371303205882
070802060501,1563.6049364290875,14.840129203528301,17.392935536421383
070802060502,1651.137099396734,NA,NA
070802060503,723.2503139910176,20.747835546714285,25.853112076142857
070802060601,1408.9251569255039,13.90823648733117,17.251702182792208
070802060602,1380.8551758803437,23.367027525760367,30.373106271797234
070802060603,1261.8692401434107,NA,NA
070802060704,695.6789820242354,NA,NA
070802060801,879.1229777002695,NA,NA
070802060802,1016.97803332205,NA,NA
070802060803,775.2271737133133,NA,NA
070802060804,904.0543854856227,27.32417221372093,40.90672197337209
070802060805,253.59756641355986,28.455284170000002,42.23400492111111
NA,NA,23.894092458543387,31.331013780113636
