MLRA,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,opAcres,n
104,2162264.002654,2624285.2141484,4786549.228366,11380,1686,50902,13812,724,63978,25192,3181,114880,5271.313073415933,190
105,313262.82690600003,349709.455955,662972.28325,8244,1790,32136,9203,1195,39560,17447,3098,63259,763.6932510322894,38
108c,8649730.61565119,14105302.49924198,22755033.06537367,11175,10,62179,18224,19,112342,29399,29,174521,21086.896893448462,774
115c,18041.269530999998,25145.080323000002,43186.349606,4510,2506,7597,6286,2904,9847,10797,5410,17443,43.98222323799898,4
