FBndID,opArea_ha,n,MLRA,HUC12,sumbioYield,meanTC_MgBio,minTC_MgBio,maxTC_MgBio,sumEnergyPot,meanTC_enPot,minTC_enPot,maxTC_enPot,sumDC,sumOC,sumTC,sumCO2red,sumN2ored,sumcpNO3LoadReduced,minNO3Red,maxNO3Red,sumcpSEDLoadReduced,minSEDRed,maxSEDRed,IWAP,sumDC_kgNO3,minDC_kgNO3,maxDC_kgNO3,sumTC_kgNO3,minTC_kgNO3,maxTC_kgNO3,sumDC_kgSED,minDC_kgSED,maxDC_kgSED,sumTC_kgSED,minTC_kgSED,maxTC_kgSED
F070600060901_100,2.6378645838318797,1,105,070600060901,19.987296787584,108.35732530600959,108.35732530600959,108.35732530600959,256.8210144,8.432993791648226,8.432993791648226,8.432993791648226,1082.03772,1083.732422,2165.77002,6.387933731,1.825123906,80.12590969362239,80.12590969362239,80.12590969362239,0,NA,NA,1,13.504217601240223,13.504217601240223,13.504217601240223,27.029584166735322,27.029584166735322,27.029584166735322,0,NA,NA,0,NA,NA
F070600060901_101,1.529822771354358,1,105,070600060901,11.591581156848,99.85207930983712,99.85207930983712,99.85207930983712,148.9426727,7.771066948229941,7.771066948229941,7.771066948229941,627.5250244,529.918457,1157.443481,3.704665661,1.058475852,98.429464,98.429464,98.429464,31784.582483763,31784.582483763,31784.582483763,2,6.375377848242677,6.375377848242677,6.375377848242677,11.759115959424507,11.759115959424507,11.759115959424507,0.019743063314440836,0.019743063314440836,0.019743063314440836,0.03641524885819326,0.03641524885819326,0.03641524885819326
F070600060901_102,5.779312716795459,1,105,070600060901,43.790284867392,97.72575104179423,97.72575104179423,97.72575104179423,562.6705933,7.605584027239762,7.605584027239762,7.605584027239762,2370.642578,1908.796021,4279.438477,13.99536037,3.998674393,175.56478521077761,175.56478521077761,175.56478521077761,37552.328924647794,37552.328924647794,37552.328924647794,1,13.502950350515226,13.502950350515226,13.502950350515226,24.375266781787925,24.375266781787925,24.375266781787925,0.06312904274877099,0.06312904274877099,0.06312904274877099,0.11395933619954936,0.11395933619954936,0.11395933619954936
F070600060901_11,5.74072425557658,1,105,070600060901,43.49789434368,97.72575914626145,97.72575914626145,97.72575914626145,558.9136353,7.6055842576077515,7.6055842576077515,7.6055842576077515,2354.813965,1896.050781,4250.864746,13.90191364,3.971975327,454.952776,454.952776,454.952776,28091.523164433598,28091.523164433598,28091.523164433598,2,5.175952514684733,5.175952514684733,5.175952514684733,9.343529637018856,9.343529637018856,9.343529637018856,0.08382649638526567,0.08382649638526567,0.08382649638526567,0.1513219742880293,0.1513219742880293,0.1513219742880293
F070600060901_12,10.78379532699309,2,105,070600060901,49.296394215936,101.33665380878284,88.15733338395168,114.51597423361402,599.9013824,8.225329057085034,6.86091367167848,9.589744442491586,4898.3318483,4033.0721132999997,5319.170044,11.189651966,2.260210633,253.06517549755358,78.8858474975536,174.179328,105997.2368738634,52115.2249913652,53882.0118824982,2,57.44959415326274,3.844669364552836,53.6049247887099,59.86571436989372,6.260789581183825,53.6049247887099,0.0913298196088229,0.012849640894977506,0.0784801787138454,0.09940496839249845,0.02092478967865305,0.0784801787138454
F070600060901_13,18.487400248361407,2,105,070600060901,83.441045791152,105.05770157231903,95.5994362717163,114.51596687292177,1013.5811158,8.514922229699092,7.440101373626193,9.589743085771989,8413.238892,6967.5368653000005,9197.522339,18.689979079,3.702957988,384.59983734069283,137.84578934069282,246.754048,149302.4004409306,65538.05363678219,83764.3468041484,2,57.75500007483156,4.149871863500289,53.60512821133127,60.933401618217786,7.32827340688652,53.60512821133127,0.1038391091902792,0.015624475006155774,0.08821463418412342,0.11580594988021745,0.027591315696094017,0.08821463418412342
F070600060901_335,2.063833530942746,1,105,070600060901,8.3278332639936,114.51597212246165,114.51597212246165,114.51597212246165,99.44686127,9.58974380609931,9.58974380609931,9.58974380609931,953.6699219,399.0114136,953.6699219,1.63194859,0.254991949,1.73402779856776,1.73402779856776,1.73402779856776,0,NA,NA,0,549.9738370328864,549.9738370328864,549.9738370328864,549.9738370328864,549.9738370328864,549.9738370328864,0,NA,NA,0,NA,NA
F070600060901_336,6.25733091989022,1,105,070600060901,47.412263839248,103.0415386526181,103.0415386526181,103.0415386526181,609.2102051,8.019288869591525,8.019288869591525,8.019288869591525,2566.723145,2318.709717,4885.432617,15.15294361,4.32941246,476.725192,476.725192,476.725192,29598.231827916,29598.231827916,29598.231827916,2,5.384072811910473,5.384072811910473,5.384072811910473,10.247901094767403,10.247901094767403,10.247901094767403,0.08671879995815014,0.08671879995815014,0.08671879995815014,0.1650582590677675,0.1650582590677675,0.1650582590677675
F070600060901_337,16.256154060009138,1,105,070600060901,123.1740916056,110.48364540470693,110.48364540470693,110.48364540470693,1582.689941,8.598476749906885,8.598476749906885,8.598476749906885,6668.186035,6940.537109,13608.72266,39.36640167,11.24754333,493.81794696316,493.81794696316,493.81794696316,100438.817981448,100438.817981448,100438.817981448,1,13.503328657873713,13.503328657873713,13.503328657873713,27.55817755043083,27.55817755043083,27.55817755043083,0.06639052678050908,0.06639052678050908,0.06639052678050908,0.1354926604424363,0.1354926604424363,0.1354926604424363
F070600060901_338,7.142557231355339,1,105,070600060901,54.11968973208,89.22048490861556,89.22048490861556,89.22048490861556,695.3953247,6.943654622761659,6.943654622761659,6.943654622761659,2929.838135,1898.746948,4828.584961,17.29663467,4.941895962,216.96942378063918,216.96942378063918,216.96942378063918,70382.8535069902,70382.8535069902,70382.8535069902,1,13.503460920660094,13.503460920660094,13.503460920660094,22.25467937768874,22.25467937768874,22.25467937768874,0.04162715759611846,0.04162715759611846,0.04162715759611846,0.06860456375955885,0.06860456375955885,0.06860456375955885
F070600060901_37,6.66812130873258,1,105,070600060901,50.524852968576,94.53627987736468,94.53627987736468,94.53627987736468,649.2045288,7.357360321914008,7.357360321914008,7.357360321914008,2735.227051,2041.204468,4776.431641,16.14772606,4.613636017,541.588848,541.588848,541.588848,36262.100034898394,36262.100034898394,36262.100034898394,2,5.0503755036698985,5.0503755036698985,5.0503755036698985,8.819294670927198,8.819294670927198,8.819294670927198,0.07542936146465969,0.07542936146465969,0.07542936146465969,0.13171966423354398,0.13171966423354398,0.13171966423354398
F070600060901_38,20.995783383446618,5,105,070600060901,106.8984819044352,253.09074002571805,101.97838405021326,357.31700688503787,1311.21078485,19.832475266083716,7.936548464066432,27.80847721335697,10676.9726562,12481.96521,15616.7303462,23.08130336,4.851976127,334.19776237377516,NA,NA,246202.69940961042,1244.04252163144,109181.45787886399,2,57.71467879262893,NA,NA,63.74721314223623,NA,NA,0.5197661942324276,0.013291630817327926,0.3985052260511664,1.5749247573996927,0.04168814074962006,1.3682012927241922
F070600060901_39,4.3892226967873995,1,105,070600060901,33.257467364688,99.85206833656783,99.85206833656783,99.85206833656783,427.3322449,7.771065590374784,7.771065590374784,7.771065590374784,1800.435303,1520.391602,3320.826904,10.629076,3.036878824,377.388544,377.388544,377.388544,116781.133892532,116781.133892532,116781.133892532,2,4.7707736009071855,4.7707736009071855,4.7707736009071855,8.799490490098183,8.799490490098183,8.799490490098183,0.015417176071066865,0.015417176071066865,0.015417176071066865,0.028436330366992287,0.028436330366992287,0.028436330366992287
F070600060901_41,8.217880319540159,1,105,070600060901,33.160204574784004,114.51596429195838,114.51596429195838,114.51596429195838,395.9827271,9.589743549700405,9.589743549700405,9.589743549700405,3797.372803,3045.209961,3797.372803,6.498178005,1.015340328,74.6221615772024,74.6221615772024,74.6221615772024,9650.015476352199,9650.015476352199,9650.015476352199,0,50.88800327864161,50.88800327864161,50.88800327864161,50.88800327864161,50.88800327864161,50.88800327864161,0.39350950392832373,0.39350950392832373,0.39350950392832373,0.39350950392832373,0.39350950392832373,0.39350950392832373
F070600060901_445,2.090915810075806,1,105,070600060901,15.843024785952,120.05207734614488,120.05207734614488,120.05207734614488,203.5703735,9.34314755285351,9.34314755285351,9.34314755285351,857.682312,1044.305786,1901.988037,5.063425541,1.446693063,56.7415450245136,56.7415450245136,56.7415450245136,0,NA,NA,1,15.115596722462568,15.115596722462568,15.115596722462568,33.52020175302416,33.52020175302416,33.52020175302416,0,NA,NA,0,NA,NA
F070600060901_53,0.935218776815738,1,105,070600060901,7.0862225716800005,131.74681868321068,131.74681868321068,131.74681868321068,91.05236816,10.253300371709958,10.253300371709958,10.253300371709958,383.6216736,549.9655762,933.5872803,2.264754295,0.647072673,72.57472,72.57472,72.57472,9318.137970508998,9318.137970508998,9318.137970508998,2,5.285885685814565,5.285885685814565,5.285885685814565,12.863808228264608,12.863808228264608,12.863808228264608,0.04116934894225921,0.04116934894225921,0.04116934894225921,0.10019032592720917,0.10019032592720917,0.10019032592720917
