radial,mean_Ctruck,med_Ctruck,Q1_Ctruck,Q3_Ctruck,mean_Chand,med_Chand,Q1_Chand,Q3_Chand,mean_Ctotal,med_Ctotal,Q1_Ctotal,Q3_Ctotal,mean_dist,med_dist,Q1_dist,Q3_dist,mean_Ctotal_Mg,med_Ctotal_Mg,Q1_Ctotal_Mg,Q3_Ctotal_Mg,mean_Cdeliv,mean_Ctotal_Mg_km,med_Ctotal_Mg_km,Q1_Ctotal_Mg_km,Q3_Ctotal_Mg_km,med_Cdeliv,Q1_Cdeliv,Q3_Cdeliv,mean_Cdeliv_Mg,med_Cdeliv_Mg,Q1_Cdeliv_Mg,Q3_Cdeliv_Mg,mean_Cdeliv_Mg_km,med_Cdeliv_Mg_km,Q1_Cdeliv_Mg_km,Q3_Cdeliv_Mg_km
8,545.6974017565134,308.1150257925388,100.14800253413391,726.6681653473344,531.9482891724056,348.7190760255868,132.09193443252846,742.4633767405196,1077.645690928919,703.1648870952837,255.74884856608907,1495.8286971127059,17.917800089871605,16.10381258,11.10566046,24.66753434,9.527617023815976,9.0469103337,7.7224000218999995,11.316296600100001,12519.47797656497,3.2406083592627604,0.5617868618848518,0.45875264402692634,0.6953571153840228,9406.369528756719,3317.8804477252756,19103.55258707131,113.06684831436468,128.83663749792953,65.12929611789329,148.96253593993134,40.566785360223186,5.987079810561055,4.016287204128936,10.939455269674436
16,1065.542424620785,713.868712989706,293.5584506966121,1429.654467675704,497.65194292308456,342.7119327641021,140.15349098290986,650.1658638148098,1563.1943675438695,1064.2778799969537,439.49517067344163,2085.8052256766723,38.939674013993645,37.0970882,30.3660053,46.52533022,15.098413613708317,14.610128373,12.8263914045,17.108612508300002,12148.660188742542,0.39921391392879785,0.393834909474108,0.36772685844642405,0.4223931293876819,9288.71665665149,3228.654456743752,18152.130443953905,118.65042774269246,134.52847961823312,70.68506983751783,154.28663297950294,3.3113928474960566,3.0521559646838696,1.8388074604547429,4.330782109049642
24,1688.9086307675666,1062.6772367337649,474.34112840355317,2189.239379205445,519.6686743771085,334.2297506354828,146.7044210706788,667.9982343686025,2208.577305144675,1408.5566077105864,614.0440891394936,2853.193821186748,58.5136264214455,57.77420802,51.270995235,65.59709769999999,20.28551100168306,20.0895651253,18.366213737275,22.162630890499997,13123.439481020741,0.3491170716794841,0.34772549577190903,0.3378599352042861,0.35821839774769937,9488.532936622141,3748.7649116265356,19068.20632167325,124.18522688565886,139.04229545008985,76.4043096848494,160.09773143820433,2.1949555292839737,2.228989244634593,1.3003819610375391,2.822034143731109
32,2060.775207567775,1296.3449552630657,534.2093665255952,2778.3810171046066,459.8364413448926,289.38605683965505,119.22445073286538,612.9627868572223,2520.6116489126675,1582.3117194699946,655.1946350052199,3393.2033986540873,81.5134089665258,80.20853506,71.47113963999999,92.01869553,26.38045337612934,26.0346617909,23.7192520046,29.164354315450005,12479.085107439532,0.32510981853264714,0.32458717481156796,0.3169394474328571,0.3318717481697707,8336.80250359814,3089.446231576056,18630.815511529036,128.0243424339346,143.69696244726063,82.90668605053902,164.74035822608334,1.6121009887565727,1.6265568987404568,1.0112444588699194,2.0965933646775134
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.875941144875,56.85158815,39.287365445,76.69610135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
